Incorrect Sentence,Correct Sentence
72. The farmer was milking the cow in the barn early in the morning.,72. The farmer was milking the cow in the barn early in the morning.
"73. She was feeling tired, so she decided to took a nap.","73. She was feeling tired, so she decided to take a nap."
74. The new phone has a better camera and a longer batery life.,74. The new phone has a better camera and a longer battery life.
75. He was walking in the forest when he heard a strange noice.,75. He was walking in the forest when he heard a strange noise.
76. The package was delivered to the wrong adress by mistake.,76. The package was delivered to the wrong address by mistake.
77. The train was delayed due to a problem with the rail tracks.,77. The train was delayed due to a problem with the railroad tracks.
"78. The car's breaks failed, causing it to crash into a tree.","78. The car's brakes failed, causing it to crash into a tree."
79. The kids were playing in the sandbox and building sandcastels.,79. The kids were playing in the sandbox and building sandcastles.
80. The boy cutted his finger while peeling the apple.,80. The boy cut his finger while peeling the apple.
81. The ice cream was melting quickly in the hot summer sun.,81. The ice cream was melting quickly in the hot summer sun.
"82. The meeting was schedule for 3pm, but it was postponed.","82. The meeting was scheduled for 3 pm, but it was postponed."
83. I asked her to call me when she arives at the airport.,83. I asked her to call me when she arrives at the airport.
84. The city is facing a water shortage due to the ongoing drought.,84. The city is facing a water shortage due to the ongoing drought.
85. The elephant is the largest mamal on Earth.,85. The elephant is the largest mammal on Earth.
86. The teacher asked the students to be quite during the test.,86. The teacher asked the students to be quiet during the test.
87. The car was parked on the street and had a flat tyre.,87. The car was parked on the street and had a flat tire.
88. The football player scored a goal in the last minute of the game.,88. The football player scored a goal in the last minute of the game.
89. The little girl was looking forward to her birthay party.,89. The little girl was looking forward to her birthday party.
90. He bought a new pair of shoes that were very unconfortable.,90. He bought a new pair of shoes that were very uncomfortable.
91. The scientist presented his research findings at the conference.,91. The scientist presented his research findings at the conference.
92. She was a great cook and her lasagna was delisious.,"92. She was a great cook, and her lasagna was delicious."
"93. The bakery sells donuts, bagels, and various kind of breads.","93. The bakery sells donuts, bagels, and various kinds of bread."
94. She was afraid of hights and couldn't climb the ladder.,94. She was afraid of heights and couldn't climb the ladder.
95. The laptop was pluged in but it wasn't charging.,"95. The laptop was plugged in, but it wasn't charging."
96. The store clerk was counting the money in the cash register.,96. The store clerk was counting the money in the cash register.
97. The tourists were taking pictures of the beautful waterfall.,97. The tourists were taking pictures of the beautiful waterfall.
98. The conference room was equiped with a projector and whiteboard.,98. The conference room was equipped with a projector and whiteboard.
99. The doctor adviced her to exercise regularly and eat healthy.,99. The doctor advised her to exercise regularly and eat healthily.
100. The company is celebrating it's 10th anniversary this year.,100. The company is celebrating its 10th anniversary this year.
I dont know what your talking about.,I don’t know what you’re talking about.
She said that she was going to the store but she never came back.,"She said that she was going to the store, but she never came back."
Its a beautiful day isnt it?,"It’s a beautiful day, isn’t it?"
He likes pizza pasta and burgers.,"He likes pizza, pasta, and burgers."
Where are you going? asked Mary.,“Where are you going?” asked Mary.
The teacher gave us alot of homework.,The teacher gave us a lot of homework.
Theyre dog is very cute.,Their dog is very cute.
No I dont want to go there.,"No, I don’t want to go there."
Can you help me with this problem?,Can you help me with this problem?
He said I’m sorry.,"He said, “I’m sorry.”"
She is a smart talented and kind person.,"She is a smart, talented, and kind person."
I love reading books especially novels.,"I love reading books, especially novels."
How are you doing today?,How are you doing today?
The movie was very interesting however it was too long.,"The movie was very interesting; however, it was too long."
I have been to Paris London and Rome.,"I have been to Paris, London, and Rome."
He is not only a good singer but also a good dancer.,He is not only a good singer but also a good dancer.
She forgot to bring her umbrella so she got wet.,"She forgot to bring her umbrella, so she got wet."
What time is it? he wondered.,“What time is it?” he wondered.
I like chocolate cake but not vanilla.,"I like chocolate cake, but not vanilla."
He was late for the meeting because of the traffic.,He was late for the meeting because of the traffic.
"Their going too the store, want anything?",They're going to the store; want anything?
"The dog wagged it's tail, and barked.",The dog wagged its tail and barked.
"I love reading books, like; Harry Potter, and Lord of the Rings.","I love reading books, like Harry Potter and Lord of the Rings."
"The meeting, is at 2:00 PM please arrive early.",The meeting is at 2:00 PM; please arrive early.
"She said""the party was great!"":","She said, ""The party was great!"""
"The Earth, revolves around the Sun.",The Earth revolves around the Sun.
"Can you believe it, I won the lottery!",Can you believe it? I won the lottery!
"The results of the experiment were inconclusive, however they warrant further investigation.","The results of the experiment were inconclusive; however, they warrant further investigation."
"I have to go to the bank, get groceries, and pick up the kids from school.","I have to go to the bank, get groceries, and pick up the kids from school."
"What are you doing tonight, I thought we could watch a movie.",What are you doing tonight? I thought we could watch a movie.
If the weather's nice we'll go to the park.,"If the weather's nice, we'll go to the park."
In her free time she enjoys cooking playing tennis and reading.,"In her free time, she enjoys cooking, playing tennis, and reading."
I need to buy bread milk eggs and cheese.,"I need to buy bread, milk, eggs, and cheese."
"John's favorite subjects are history, math and science.","John's favorite subjects are history, math, and science."
"When the alarm went off, she hit snooze and went back to sleep.","When the alarm went off, she hit snooze and went back to sleep."
"She asked ""Can you help me with my homework?""","She asked, ""Can you help me with my homework?"""
The movie was amazing it blew my mind!,The movie was amazing; it blew my mind!
"My phone's battery is dead, I need to charge it!",My phone's battery is dead; I need to charge it!
"First, preheat the oven to 350°F then mix all the ingredients together.","First, preheat the oven to 350°F; then mix all the ingredients together."
I can't find my keys have you seen them?,I can't find my keys; have you seen them?
"We went to the beach, it was a beautiful day!",We went to the beach; it was a beautiful day!
"She shouted""Stop that right now!""","She shouted, ""Stop that right now!"""
"The cake was delicious, however it was too sweet for my taste.","The cake was delicious; however, it was too sweet for my taste."
"I have to study for my exam clean the house, and do the laundry.","I have to study for my exam, clean the house, and do the laundry."
"Her favorite colors are blue, purple and green.","Her favorite colors are blue, purple, and green."
"The conference starts at 9:00 AM, make sure to bring your ID.",The conference starts at 9:00 AM; make sure to bring your ID.
"I tried calling you, but you didn't answer, your phone.","I tried calling you, but you didn't answer your phone."
The weather is terrible today it's been raining nonstop.,The weather is terrible today; it's been raining nonstop.
"I'm going to the gym, after that, I'll cook dinner.","I'm going to the gym; after that, I'll cook dinner."
"He's a great singer, and dancer too.",He's a great singer and dancer too.
"Before leaving the house, don't forget to lock the door, and turn off the lights.","Before leaving the house, don't forget to lock the door and turn off the lights."
The concert was amazing I had a fantastic time!,The concert was amazing; I had a fantastic time!
"I have a dentist appointment at 3:00 PM, I need to leave work early.",I have a dentist appointment at 3:00 PM; I need to leave work early.
She was late for the meeting which caused some issues.,"She was late for the meeting, which caused some issues."
"The new restaurant opened today, the food was delicious.",The new restaurant opened today; the food was delicious.
"When I visited Paris, I went to the Louvre Museum, and the Eiffel Tower.","When I visited Paris, I went to the Louvre Museum and the Eiffel Tower."
"I'll bring snacks, you can bring drinks, to the party.",I'll bring snacks; you can bring drinks to the party.
"I don't like seafood, but I enjoy sushi.","I don't like seafood, but I enjoy sushi."
"The sunset was beautiful, we took many pictures.",The sunset was beautiful; we took many pictures.
"The book is interesting, it's about ancient civilizations.",The book is interesting; it's about ancient civilizations.
i have a meeting on Monday with dr. Smith.,I have a meeting on Monday with Dr. Smith.
"my iphone suddenly stopped working, can you help?","My iPhone suddenly stopped working, can you help?"
the amazon rainforest is the largest tropical rainforest in the world.,The Amazon Rainforest is the largest tropical rainforest in the world.
please submit your application to the department of human resources.,Please submit your application to the Department of Human Resources.
the pacific ocean is the largest and deepest ocean on Earth.,The Pacific Ocean is the largest and deepest ocean on Earth.
he left for los angeles early in the morning.,He left for Los Angeles early in the morning.
"in the united states, the president is elected every four years.","In the United States, the president is elected every four years."
can you pick up some coca-cola from the store?,Can you pick up some Coca-Cola from the store?
i'm reading harry potter and the philosopher's stone.,I'm reading Harry Potter and the Philosopher's Stone.
"the eiffel tower is a popular tourist attraction in paris, france.","The Eiffel Tower is a popular tourist attraction in Paris, France."
"the grand canyon is a must-visit destination in arizona, usa.","The Grand Canyon is a must-visit destination in Arizona, USA."
i need to book a flight to london on british airways.,I need to book a flight to London on British Airways.
i recently watched the movie inception directed by christopher nolan.,I recently watched the movie Inception directed by Christopher Nolan.
the great wall of china is an iconic landmark in china.,The Great Wall of China is an iconic landmark in China.
the international space station orbits Earth every 90 minutes.,The International Space Station orbits Earth every 90 minutes.
she is studying at the university of cambridge in the united kingdom.,She is studying at the University of Cambridge in the United Kingdom.
the book pride and prejudice was written by jane austen.,The book Pride and Prejudice was written by Jane Austen.
mount everest is the highest peak in the world.,Mount Everest is the highest peak in the world.
the mona lisa is a famous painting by leonardo da vinci.,The Mona Lisa is a famous painting by Leonardo da Vinci.
the national aeronautics and space administration (nasa) was founded in 1958.,The National Aeronautics and Space Administration (NASA) was founded in 1958.
she is a doctor and he is a lawyer.,She is a doctor and he is a lawyer.
the sun rises in the east and sets in the west.,The sun rises in the east and sets in the west.
what is your name?,What is your name?
"i have two cats, tom and jerry.","I have two cats, Tom and Jerry."
we went to paris last summer.,We went to Paris last summer.
"he said, “i’m sorry.”","He said, “I’m sorry.”"
"i like pizza, pasta, and ice cream.","I like pizza, pasta, and ice cream."
my birthday is on january 1st.,My birthday is on January 1st.
harry potter is a famous book series by j.k. rowling.,Harry Potter is a famous book series by J.K. Rowling.
i don’t know how to play chess.,I don’t know how to play chess.
can you help me with my homework?,Can you help me with my homework?
this is a beautiful painting by vincent van gogh.,This is a beautiful painting by Vincent van Gogh.
i’m going to the movies with my friends.,I’m going to the movies with my friends.
do you like chocolate or vanilla?,Do you like chocolate or vanilla?
"i live in new delhi, the capital of india.","I live in New Delhi, the capital of India."
she loves reading books by jane austen.,She loves reading books by Jane Austen.
i’m learning spanish and french.,I’m learning Spanish and French.
"he works at google, a tech company.","He works at Google, a tech company."
"i’m a fan of beyoncé, a famous singer.","I’m a fan of Beyoncé, a famous singer."
we celebrate christmas on december 25th.,We celebrate Christmas on December 25th.
The weather outside is very extreem today.,The weather outside is very extreme today.
She didn't excepted the job offer.,She didn't accept the job offer.
I want to loose some weight before the event.,I want to lose some weight before the event.
He was effected by the new regulations.,He was affected by the new regulations.
Please be advise on the new office policy.,Please be advised on the new office policy.
She gave a complimentary to her colleague.,She gave a compliment to her colleague.
The guests were impressed by the luxurious desert.,The guests were impressed by the luxurious dessert.
The principle called a meeting with the teachers.,The principal called a meeting with the teachers.
Can you tell me the currant exchange rate?,Can you tell me the current exchange rate?
The author's preface is followed by a forward.,The author's preface is followed by a foreword.
Your computer has a virus and needs to be de-fragmented.,Your computer has a virus and needs to be defragmented.
I need to buy a new pear of sneakers.,I need to buy a new pair of sneakers.
He was wearing a suite to the interview.,He was wearing a suit to the interview.
The movie was based on a true storey.,The movie was based on a true story.
I have a soar throat and a headache.,I have a sore throat and a headache.
The company is planning to launch its new product next weak.,The company is planning to launch its new product next week.
She was very discrete about her personal life.,She was very discreet about her personal life.
The scientists were studying the affects of pollution on health.,The scientists were studying the effects of pollution on health.
The suspect will be trialed in court next month.,The suspect will be tried in court next month.
"Could you pass me the flour, please?","Could you pass me the flower, please?"
She excepted his offer with gratitude.,She accepted his offer with gratitude.
He was very adapt at playing chess.,He was very adept at playing chess.
The affect of the storm was devastating.,The effect of the storm was devastating.
They had a lot of fun at the principle’s office.,They had a lot of fun at the principal’s office.
She complimented him on his descent performance.,She complimented him on his decent performance.
"He was feeling board, so he decided to read a book.","He was feeling bored, so he decided to read a book."
She was very conscience of her appearance.,She was very conscious of her appearance.
He advised her to be discreet about her plans.,He advised her to be discreet about her plans.
She had a flair for writing poetry.,She had a flair for writing poetry.
He was not fazed by the criticism.,He was not fazed by the criticism.
She gave him a piece of her mind.,She gave him a piece of her mind.
He was very weary after the long journey.,He was very weary after the long journey.
She had a personal stake in the outcome.,She had a personal stake in the outcome.
He complimented her on her beautiful hair.,He complimented her on her beautiful hair.
She was very discrete in her dealings.,She was very discreet in her dealings.
He had a lot of patients as a doctor.,He had a lot of patients as a doctor.
She was very complementary to his work.,She was very complimentary to his work.
He had a hard time choosing between the two options.,He had a hard time choosing between the two options.
She was very reluctant to except his apology.,She was very reluctant to accept his apology.
He was very confidant in his abilities.,He was very confident in his abilities.
I went to the store I bought groceries.,"I went to the store, and I bought groceries."
She loves reading she reads every night.,"She loves reading, so she reads every night."
The sun is shining it's a beautiful day.,The sun is shining; it's a beautiful day.
He failed the test he didn't study enough.,He failed the test because he didn't study enough.
The cake is delicious everyone enjoyed it.,"The cake is delicious, and everyone enjoyed it."
I like to travel I've been to many countries.,"I like to travel, as I've been to many countries."
The conference starts at 9 AM it ends at 5 PM.,"The conference starts at 9 AM, and it ends at 5 PM."
The computer is running slow it needs an upgrade.,"The computer is running slow, so it needs an upgrade."
She forgot her umbrella it started to rain.,"She forgot her umbrella, and then it started to rain."
The movie was boring we left early.,"The movie was boring, so we left early."
He's a talented musician he plays multiple instruments.,"He's a talented musician, as he plays multiple instruments."
The flowers are blooming spring has arrived.,The flowers are blooming since spring has arrived.
I'm allergic to cats I can't have one as a pet.,"I'm allergic to cats, so I can't have one as a pet."
She wasn't feeling well she went to the doctor.,"She wasn't feeling well, so she went to the doctor."
The restaurant was crowded we had to wait for a table.,"The restaurant was crowded, and we had to wait for a table."
He saw the advertisement he decided to apply.,"He saw the advertisement, and he decided to apply."
She wants to lose weight she started exercising.,"She wants to lose weight, so she started exercising."
The car was out of gas he had to walk to the nearest station.,"The car was out of gas, so he had to walk to the nearest station."
The laptop battery died he couldn't finish his work.,"The laptop battery died, and he couldn't finish his work."
The project deadline is approaching they're working late hours.,"The project deadline is approaching, so they're working late hours."
She loves reading books she reads every day.,"She loves reading books, and she reads every day."
He wanted to go to the park but his mother said no.,"He wanted to go to the park, but his mother said no."
I like chocolate cake it is my favorite dessert.,I like chocolate cake; it is my favorite dessert.
They went to the museum they saw many paintings.,"They went to the museum, where they saw many paintings."
She is a good singer she has a beautiful voice.,She is a good singer because she has a beautiful voice.
He studied hard for the exam he passed with flying colors.,"He studied hard for the exam, and he passed with flying colors."
I have a dog his name is Max.,"I have a dog, and his name is Max."
She was hungry she decided to order pizza.,"She was hungry, so she decided to order pizza."
He likes to play soccer he is very good at it.,"He likes to play soccer, which he is very good at."
I went to the store I bought some milk and eggs.,"I went to the store, where I bought some milk and eggs."
She is a doctor she works at a hospital.,She is a doctor who works at a hospital.
He was tired he went to bed early.,"He was tired, so he went to bed early."
I love music I listen to it all the time.,"I love music, and I listen to it all the time."
They are friends they met in college.,They are friends who met in college.
She likes to travel she has been to many countries.,"She likes to travel, and she has been to many countries."
He is smart he knows a lot of things.,"He is smart, and he knows a lot of things."
I have a cat her name is Luna.,"I have a cat, and her name is Luna."
He is a teacher he teaches math.,He is a teacher who teaches math.
She was happy she got a promotion.,"She was happy, for she got a promotion."
He likes to watch movies he has a large collection of DVDs.,"He likes to watch movies, and he has a large collection of DVDs."
"Eating an apple, hungry.",I was eating an apple because I was hungry.
She late for meeting.,She was late for the meeting.
He the best teacher.,He is the best teacher.
Can you me a favor?,Can you do me a favor?
"The cat on the roof, playing.",The cat was playing on the roof.
I my phone in my bag.,I left my phone in my bag.
"The sun bright, sunglasses needed.",The sun was so bright that sunglasses were needed.
"She crying, felt sad.",She was crying because she felt sad.
"The cake the oven, baking.","The cake was in the oven, baking."
"They the store, buying groceries.","They were at the store, buying groceries."
"The car, dirty, needs cleaning.",The car is dirty and needs cleaning.
"I my laptop, working on a project.",I was using my laptop to work on a project.
"The concert, loud, people dancing.","The concert was loud, and people were dancing."
"The rain, heavy, streets flooded.","The rain was heavy, and the streets were flooded."
"The dog, barking, someone at the door.",The dog was barking because there was someone at the door.
"He the gym, exercising.","He was at the gym, exercising."
"The movie, interesting, everyone engaged.","The movie was interesting, and everyone was engaged."
"The flowers, blooming, spring arrived.",The flowers were blooming because spring had arrived.
"The wind, strong, trees swaying.","The wind was strong, and the trees were swaying."
"The package, delivered, on the porch.",The package was delivered and left on the porch.
"The book, fascinating, couldn't put it down.",The book was so fascinating that I couldn't put it down.
"The water, boiling, ready for tea.",The water was boiling and ready for tea.
"She the store, looking for shoes.","She was at the store, looking for shoes."
"The party, crowded, everyone having fun.","The party was crowded, and everyone was having fun."
"The computer, slow, needs an upgrade.",The computer is slow and needs an upgrade.
"The beach, crowded, people sunbathing.","The beach was crowded, with people sunbathing."
"The restaurant, busy, waiters running around.","The restaurant was busy, with waiters running around."
"The plane, delayed, passengers waiting.","The plane was delayed, and passengers were waiting."
"The garden, beautiful, flowers everywhere.","The garden was beautiful, with flowers everywhere."
"The music, soothing, people relaxing.","The music was soothing, and people were relaxing."
"The snow, falling, children playing outside.","The snow was falling, and children were playing outside."
"The painting, captivating, people admiring it.","The painting was captivating, with people admiring it."
"The coffee, hot, perfect for a cold day.","The coffee was hot, which was perfect for a cold day."
"She her room, cleaning up.","She was in her room, cleaning up."
"The game, intense, fans cheering loudly.","The game was intense, with fans cheering loudly."
"The baby, asleep, parents relieved.","The baby was asleep, and the parents were relieved."
"The stars, shining, beautiful night sky.",The stars were shining in the beautiful night sky.
"The lecture, informative, students taking notes.","The lecture was informative, with students taking notes."
"The train, arriving, passengers boarding.","The train was arriving, and passengers were boarding."
"The cake, delicious, everyone wanting more.","The cake was delicious, with everyone wanting more."
I went to the store store.,I went to the store.
"At 3 PM in the afternoon, I have a meeting.","At 3 PM, I have a meeting."
He accidentally made the same mistake twice.,He accidentally made the same mistake.
"She bought a new car, a brand new car.",She bought a new car.
"The instructions were unclear, not clear.",The instructions were unclear.
I need to buy new shoes because my old shoes are old.,I need to buy new shoes because my old ones are worn.
The pizza was so delicious and very tasty.,The pizza was delicious.
He is always continuously working on his projects.,He is always working on his projects.
She traveled to many different various countries.,She traveled to many countries.
The store is closed today due to the holiday holiday.,The store is closed today due to the holiday.
The movie was boring and it was not interesting.,The movie was boring.
John whispered quietly so that nobody could hear.,John whispered so that nobody could hear.
"Please RSVP in advance, ahead of time.",Please RSVP in advance.
"I want to buy a new shirt, but first I have to save up some money, some cash.","I want to buy a new shirt, but first I have to save up some money."
The little small puppy was so cute.,The little puppy was so cute.
She was angry and furious about the situation.,She was furious about the situation.
I have to finish my work by the end of the day today.,I have to finish my work by the end of the day.
The athlete ran quickly with great speed.,The athlete ran quickly.
The cake is sweet and has a sugary taste.,The cake is sweet.
I'll email you the details and the information.,I'll email you the details.
1. Let's not open up that can of worms in the same boat.,1. Let's not open up that can of worms.
2. You're comparing apples to oranges while the cat's away.,2. You're comparing apples to oranges.
3. You can't judge a book by its cover with a grain of salt.,3. You can't judge a book by its cover.
"4. She's burning the candle at both ends, and it takes two to tango.",4. She's burning the candle at both ends.
5. Let's not put all our eggs in one basket out of the frying pan and into the fire.,5. Let's not put all our eggs in one basket.
"6. He's driving me up the wall, but there's no smoke without fire.",6. He's driving me up the wall.
"7. I'll cross that bridge when I come to it, but a bird in the hand is worth two in the bush.",7. I'll cross that bridge when I come to it.
8. She's biting off more than she can chew between a rock and a hard place.,8. She's biting off more than she can chew.
"9. It's not rocket science, but you can't make an omelette without breaking eggs.",9. It's not rocket science.
"10. The early bird catches the worm, but that's the way the cookie crumbles.",10. The early bird catches the worm.
"11. He's running out of steam, but the grass is always greener on the other side.",11. He's running out of steam.
"12. The ball is in your court, but every cloud has a silver lining.",12. The ball is in your court.
"13. You can't have your cake and eat it too, but it's a piece of cake.",13. You can't have your cake and eat it too.
"14. Let the cat out of the bag, but don't count your chickens before they hatch.",14. Let the cat out of the bag.
15. He's barking up the wrong tree at the end of the day.,15. He's barking up the wrong tree.
"16. She's walking on thin ice, but Rome wasn't built in a day.",16. She's walking on thin ice.
"17. Time flies when you're having fun, and a rolling stone gathers no moss.",17. Time flies when you're having fun.
"18. Actions speak louder than words, but don't put the cart before the horse.",18. Actions speak louder than words.
"19. Don't bite the hand that feeds you, but the pen is mightier than the sword.",19. Don't bite the hand that feeds you.
"20. A picture is worth a thousand words, but it's better to be safe than sorry.",20. A picture is worth a thousand words.
"21. You can lead a horse to water, but you can't make it drink with a silver spoon.","21. You can lead a horse to water, but you can't make it drink."
"22. The proof of the pudding is in the eating, but all that glitters is not gold.",22. The proof of the pudding is in the eating.
"23. Beauty is in the eye of the beholder, but the early bird catches the worm.",23. Beauty is in the eye of the beholder.
"24. Don't put all your eggs in one basket, but time is money.",24. Don't put all your eggs in one basket.
"25. There's no such thing as a free lunch, but money doesn't grow on trees.",25. There's no such thing as a free lunch.
"26. When in Rome, do as the Romans do, but don't cry over spilled milk.","26. When in Rome, do as the Romans do."
"27. Out of sight, out of mind, but it's the thought that counts.","27. Out of sight, out of mind."
"28. You can't teach an old dog new tricks, but the show must go on.",28. You can't teach an old dog new tricks.
"29. You can't have your cake and eat it too, but too many cooks spoil the broth.",29. You can't have your cake and eat it too.
"30. Don't judge a book by its cover, but every dog has his day.",30. Don't judge a book by its cover.
"31. Keep your friends close and your enemies closer, but the squeaky wheel gets the grease.",31. Keep your friends close and your enemies closer.
"32. There's no smoke without fire, but you can't make a silk purse out of a sow's ear.",32. There's no smoke without fire.
"33. Two heads are better than one, but the devil is in the details.",33. Two heads are better than one.
"34. The squeaky wheel gets the grease, but you can't make an omelette without breaking eggs.",34. The squeaky wheel gets the grease.
"35. A watched pot never boils, but the best things in life are free.",35. A watched pot never boils.
"36. Fortune favors the bold, but good things come to those who wait.",36. Fortune favors the bold.
"37. A chain is only as strong as its weakest link, but all's fair in love and war.",37. A chain is only as strong as its weakest link.
"38. The apple doesn't fall far from the tree, but a leopard can't change its spots.",38. The apple doesn't fall far from the tree.
"39. You can catch more flies with honey than with vinegar, but the grass is always greener on the other side.",39. You can catch more flies with honey than with vinegar.
"40. Ignorance is bliss, but knowledge is power.",40. Ignorance is bliss.
"41. Great minds think alike, but too many cooks spoil the broth.",41. Great minds think alike.
"42. Absence makes the heart grow fonder, but out of sight, out of mind.",42. Absence makes the heart grow fonder.
"43. An ounce of prevention is worth a pound of cure, but actions speak louder than words.",43. An ounce of prevention is worth a pound of cure.
"44. A penny saved is a penny earned, but money can't buy happiness.",44. A penny saved is a penny earned.
"45. Blood is thicker than water, but you can't choose your family.",45. Blood is thicker than water.
"46. Don't look a gift horse in the mouth, but it's the thought that counts.",46. Don't look a gift horse in the mouth.
"47. Slow and steady wins the race, but time waits for no one.",47. Slow and steady wins the race.
"48. Laughter is the best medicine, but all work and no play makes Jack a dull boy.",48. Laughter is the best medicine.
"49. The road to hell is paved with good intentions, but every cloud has a silver lining.",49. The road to hell is paved with good intentions.
"50. A bird in the hand is worth two in the bush, but don't count your chickens before they hatch.",50. A bird in the hand is worth two in the bush.
The car was driven by Sarah to the supermarket.,Sarah drove the car to the supermarket.
The cake was eaten by the guests at the party.,The guests ate the cake at the party.
The report was completed by the team before the deadline.,The team completed the report before the deadline.
The movie was enjoyed by everyone in the theater.,Everyone in the theater enjoyed the movie.
The computer was repaired by the technician yesterday.,The technician repaired the computer yesterday.
The package was delivered by the mail carrier this morning.,The mail carrier delivered the package this morning.
The lecture was given by Professor Smith.,Professor Smith gave the lecture.
The song was performed by the choir at the concert.,The choir performed the song at the concert.
The medicine was prescribed by the doctor for my illness.,The doctor prescribed the medicine for my illness.
The plants were watered by Jane every day.,Jane watered the plants every day.
The book was written by the author in six months.,The author wrote the book in six months.
The house was painted by the workers last week.,The workers painted the house last week.
The proposal was submitted by the company to the client.,The company submitted the proposal to the client.
The game was won by the home team in overtime.,The home team won the game in overtime.
The project was managed by Tom from start to finish.,Tom managed the project from start to finish.
The letter was sent by the secretary to the board members.,The secretary sent the letter to the board members.
The coffee was made by Kevin for the morning meeting.,Kevin made the coffee for the morning meeting.
The play was directed by Susan at the community theater.,Susan directed the play at the community theater.
The clothes were washed by Mary in the laundry room.,Mary washed the clothes in the laundry room.
The email was forwarded by Jim to his colleagues.,Jim forwarded the email to his colleagues.
The invitation was accepted by Lisa to attend the event.,Lisa accepted the invitation to attend the event.
The flowers were arranged by the florist for the wedding.,The florist arranged the flowers for the wedding.
The contract was signed by the CEO after reviewing the terms.,The CEO signed the contract after reviewing the terms.
The groceries were bought by Mark at the store.,Mark bought the groceries at the store.
The cake was baked by my grandmother for my birthday.,My grandmother baked the cake for my birthday.
The dishes were washed by Peter after dinner.,Peter washed the dishes after dinner.
The gift was wrapped by Sarah for the party.,Sarah wrapped the gift for the party.
The window was broken by the kids playing outside.,The kids playing outside broke the window.
The photos were taken by the photographer at the event.,The photographer took the photos at the event.
The presentation was prepared by the team for the meeting.,The team prepared the presentation for the meeting.
The tickets were bought by Jane for the concert.,Jane bought the tickets for the concert.
The speech was delivered by the politician at the rally.,The politician delivered the speech at the rally.
The research was conducted by the scientists in the lab.,The scientists conducted the research in the lab.
The dog was walked by Tim in the park.,Tim walked the dog in the park.
The article was published by the magazine in the latest issue.,The magazine published the article in the latest issue.
The meal was cooked by the chef for the guests.,The chef cooked the meal for the guests.
The table was set by Emily for dinner.,Emily set the table for dinner.
The music was composed by the artist for the film.,The artist composed the music for the film.
The documents were printed by the assistant for the meeting.,The assistant printed the documents for the meeting.
The room was cleaned by the staff before the event.,The staff cleaned the room before the event.
The computer program was developed by the engineers.,The engineers developed the computer program.
The garden was tended by the gardener throughout the summer.,The gardener tended the garden throughout the summer.
The children were picked up by their parents after school.,The parents picked up their children after school.
The furniture was moved by the movers into the new house.,The movers moved the furniture into the new house.
The bicycle was fixed by the mechanic at the shop.,The mechanic fixed the bicycle at the shop.
The cake was decorated by the baker with icing and flowers.,The baker decorated the cake with icing and flowers.
The plants were pruned by the gardener to encourage growth.,The gardener pruned the plants to encourage growth.
The sculpture was created by the artist using clay and metal.,The artist created the sculpture using clay and metal.
The meeting was organized by the manager to discuss the new project.,The manager organized the meeting to discuss the new project.
Me and him went to the store yesterday.,He and I went to the store yesterday.
"When you see Sarah, give them this letter.","When you see Sarah, give her this letter."
The dog chased it's tail.,The dog chased its tail.
The council members gathered to discuss about their community.,The council members gathered to discuss their community.
"If anyone finishes their work early, they can leave.","If anyone finishes his or her work early, he or she can leave."
The team is working on their project.,The team is working on its project.
They're house is beautiful.,Their house is beautiful.
The teacher told the students that they needs to study harder.,The teacher told the students that they need to study harder.
She gave the books to John and I.,She gave the books to John and me.
The company wants to ensure they're customers are satisfied.,The company wants to ensure their customers are satisfied.
The doctor asked the patient to describe it's symptoms.,The doctor asked the patient to describe his or her symptoms.
The cat looked at itself in the mirror.,The cat looked at itself in the mirror.
"When the car broke down, the mechanic fixed them.","When the car broke down, the mechanic fixed it."
The plants need water for they're survival.,The plants need water for their survival.
Everyone must submit there own report by Friday.,Everyone must submit his or her own report by Friday.
The boys went to the park and played soccer with them friends.,The boys went to the park and played soccer with their friends.
Me and her went to the movies last night.,She and I went to the movies last night.
The manager will discuss the issue with the employee and there supervisor.,The manager will discuss the issue with the employee and their supervisor.
The teacher asked the students to submit they're assignments by tomorrow.,The teacher asked the students to submit their assignments by tomorrow.
The birds fly to the south for it's warmer.,The birds fly to the south because it's warmer.
The club will hold a meeting to discuss its future plans and there budget.,The club will hold a meeting to discuss its future plans and its budget.
The mother told her children that they can play outside once they've finished them homework.,The mother told her children that they can play outside once they've finished their homework.
The engineer explained the technical aspects of the project to the client and they're manager.,The engineer explained the technical aspects of the project to the client and their manager.
"The band played their instruments loudly, which made them neighbors upset.","The band played their instruments loudly, which made their neighbors upset."
The scientist presented his findings to they're colleagues.,The scientist presented his findings to their colleagues.
"The students took their exams, and they results were announced the following week.","The students took their exams, and their results were announced the following week."
"The author released a new book, and it's popularity skyrocketed.","The author released a new book, and its popularity skyrocketed."
The tourists took pictures of the beautiful scenery with them cameras.,The tourists took pictures of the beautiful scenery with their cameras.
The children were excited for they're upcoming field trip.,The children were excited for their upcoming field trip.
The athlete worked hard to improve them performance.,The athlete worked hard to improve his or her performance.
The company's employees attended a workshop to improve they're skills.,The company's employees attended a workshop to improve their skills.
The computer technician fixed the issue with the laptop and returned it to it's owner.,The computer technician fixed the issue with the laptop and returned it to its owner.
The customer returned the product because them were not satisfied with its quality.,The customer returned the product because he or she was not satisfied with its quality.
